Contrast	region	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
region	-	NAc-core	NAc-shell	-0.83	11.0	p = .427	p = .640	t(11) = -0.83, p = .427	t(11) = -0.83, q = .640
region	-	NAc-core	aCAU	2.53	11.0	p = .028	p = .140	t(11) = 2.53, p = .028	t(11) = 2.53, q = .140
region	-	NAc-core	aPUT	0.11	11.0	p = .913	p = .939	t(11) = 0.11, p = .913	t(11) = 0.11, q = .939
region	-	NAc-core	pCAU	1.49	11.0	p = .166	p = .276	t(11) = 1.49, p = .166	t(11) = 1.49, q = .276
region	-	NAc-core	pPUT	1.75	11.0	p = .107	p = .201	t(11) = 1.75, p = .107	t(11) = 1.75, q = .201
region	-	NAc-shell	aCAU	3.50	11.0	p = .005	p = .054	t(11) = 3.50, p = .005	t(11) = 3.50, q = .054
region	-	NAc-shell	aPUT	0.74	11.0	p = .476	p = .649	t(11) = 0.74, p = .476	t(11) = 0.74, q = .649
region	-	NAc-shell	pCAU	1.84	11.0	p = .092	p = .201	t(11) = 1.84, p = .092	t(11) = 1.84, q = .201
region	-	NAc-shell	pPUT	2.30	11.0	p = .042	p = .157	t(11) = 2.30, p = .042	t(11) = 2.30, q = .157
region	-	aCAU	aPUT	-2.17	11.0	p = .053	p = .159	t(11) = -2.17, p = .053	t(11) = -2.17, q = .159
region	-	aCAU	pCAU	0.56	11.0	p = .587	p = .727	t(11) = 0.56, p = .587	t(11) = 0.56, q = .727
region	-	aCAU	pPUT	-0.08	11.0	p = .939	p = .939	t(11) = -0.08, p = .939	t(11) = -0.08, q = .939
region	-	aPUT	pCAU	1.76	11.0	p = .106	p = .201	t(11) = 1.76, p = .106	t(11) = 1.76, q = .201
region	-	aPUT	pPUT	3.29	11.0	p = .007	p = .054	t(11) = 3.29, p = .007	t(11) = 3.29, q = .054
region	-	pCAU	pPUT	-0.49	11.0	p = .630	p = .727	t(11) = -0.49, p = .630	t(11) = -0.49, q = .727
learning_stage	-	early	final	3.24	11.0	p = .008	p = .024	t(11) = 3.24, p = .008	t(11) = 3.24, q = .024
learning_stage	-	early	middle	2.09	11.0	p = .061	p = .092	t(11) = 2.09, p = .061	t(11) = 2.09, q = .092
learning_stage	-	final	middle	-0.15	11.0	p = .886	p = .886	t(11) = -0.15, p = .886	t(11) = -0.15, q = .886
region * learning_stage	NAc-core	early	final	0.14	11.0	p = .892	p = .906	t(11) = 0.14, p = .892	t(11) = 0.14, q = .906
region * learning_stage	NAc-core	early	middle	0.70	11.0	p = .499	p = .748	t(11) = 0.70, p = .499	t(11) = 0.70, q = .748
region * learning_stage	NAc-core	final	middle	0.56	11.0	p = .588	p = .806	t(11) = 0.56, p = .588	t(11) = 0.56, q = .806
region * learning_stage	NAc-shell	early	final	2.46	11.0	p = .032	p = .178	t(11) = 2.46, p = .032	t(11) = 2.46, q = .178
region * learning_stage	NAc-shell	early	middle	0.73	11.0	p = .478	p = .748	t(11) = 0.73, p = .478	t(11) = 0.73, q = .748
region * learning_stage	NAc-shell	final	middle	-1.20	11.0	p = .254	p = .571	t(11) = -1.20, p = .254	t(11) = -1.20, q = .571
region * learning_stage	aCAU	early	final	4.03	11.0	p = .002	p = .036	t(11) = 4.03, p = .002	t(11) = 4.03, q = .036
region * learning_stage	aCAU	early	middle	1.98	11.0	p = .073	p = .263	t(11) = 1.98, p = .073	t(11) = 1.98, q = .263
region * learning_stage	aCAU	final	middle	-0.28	11.0	p = .788	p = .887	t(11) = -0.28, p = .788	t(11) = -0.28, q = .887
region * learning_stage	aPUT	early	final	0.50	11.0	p = .627	p = .806	t(11) = 0.50, p = .627	t(11) = 0.50, q = .806
region * learning_stage	aPUT	early	middle	0.12	11.0	p = .906	p = .906	t(11) = 0.12, p = .906	t(11) = 0.12, q = .906
region * learning_stage	aPUT	final	middle	-0.32	11.0	p = .753	p = .887	t(11) = -0.32, p = .753	t(11) = -0.32, q = .887
region * learning_stage	pCAU	early	final	1.81	11.0	p = .098	p = .294	t(11) = 1.81, p = .098	t(11) = 1.81, q = .294
region * learning_stage	pCAU	early	middle	3.32	11.0	p = .007	p = .061	t(11) = 3.32, p = .007	t(11) = 3.32, q = .061
region * learning_stage	pCAU	final	middle	0.75	11.0	p = .472	p = .748	t(11) = 0.75, p = .472	t(11) = 0.75, q = .748
region * learning_stage	pPUT	early	final	2.34	11.0	p = .039	p = .178	t(11) = 2.34, p = .039	t(11) = 2.34, q = .178
region * learning_stage	pPUT	early	middle	1.31	11.0	p = .217	p = .558	t(11) = 1.31, p = .217	t(11) = 1.31, q = .558
region * learning_stage	pPUT	final	middle	-1.11	11.0	p = .290	p = .580	t(11) = -1.11, p = .290	t(11) = -1.11, q = .580
