Contrast	region	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
region	-	HG	PP	1.61	11.0	p = .135	p = .180	t(11) = 1.61, p = .135	t(11) = 1.61, q = .180
region	-	HG	PT	-1.77	11.0	p = .105	p = .170	t(11) = -1.77, p = .105	t(11) = -1.77, q = .170
region	-	HG	ParsOp	2.01	11.0	p = .070	p = .122	t(11) = 2.01, p = .070	t(11) = 2.01, q = .122
region	-	HG	ParsTri	4.71	11.0	p < .001	p = .003	t(11) = 4.71, p < .001	t(11) = 4.71, q = .003
region	-	HG	STGa	0.05	11.0	p = .961	p = .961	t(11) = 0.05, p = .961	t(11) = 0.05, q = .961
region	-	HG	STGp	0.69	11.0	p = .507	p = .532	t(11) = 0.69, p = .507	t(11) = 0.69, q = .532
region	-	PP	PT	-3.88	11.0	p = .003	p = .007	t(11) = -3.88, p = .003	t(11) = -3.88, q = .007
region	-	PP	ParsOp	1.53	11.0	p = .155	p = .181	t(11) = 1.53, p = .155	t(11) = 1.53, q = .181
region	-	PP	ParsTri	6.73	11.0	p < .001	p < .001	t(11) = 6.73, p < .001	t(11) = 6.73, q < .001
region	-	PP	STGa	-1.58	11.0	p = .142	p = .180	t(11) = -1.58, p = .142	t(11) = -1.58, q = .180
region	-	PP	STGp	-1.57	11.0	p = .146	p = .180	t(11) = -1.57, p = .146	t(11) = -1.57, q = .180
region	-	PT	ParsOp	3.71	11.0	p = .003	p = .008	t(11) = 3.71, p = .003	t(11) = 3.71, q = .008
region	-	PT	ParsTri	6.62	11.0	p < .001	p < .001	t(11) = 6.62, p < .001	t(11) = 6.62, q < .001
region	-	PT	STGa	1.64	11.0	p = .128	p = .180	t(11) = 1.64, p = .128	t(11) = 1.64, q = .180
region	-	PT	STGp	2.45	11.0	p = .032	p = .068	t(11) = 2.45, p = .032	t(11) = 2.45, q = .068
region	-	ParsOp	ParsTri	4.43	11.0	p = .001	p = .004	t(11) = 4.43, p = .001	t(11) = 4.43, q = .004
region	-	ParsOp	STGa	-3.90	11.0	p = .002	p = .007	t(11) = -3.90, p = .002	t(11) = -3.90, q = .007
region	-	ParsOp	STGp	-2.36	11.0	p = .038	p = .072	t(11) = -2.36, p = .038	t(11) = -2.36, q = .072
region	-	ParsTri	STGa	-7.49	11.0	p < .001	p < .001	t(11) = -7.49, p < .001	t(11) = -7.49, q < .001
region	-	ParsTri	STGp	-8.12	11.0	p < .001	p < .001	t(11) = -8.12, p < .001	t(11) = -8.12, q < .001
region	-	STGa	STGp	0.78	11.0	p = .453	p = .500	t(11) = 0.78, p = .453	t(11) = 0.78, q = .500
hemisphere	-	L	R	1.45	11.0	p = .175	p = nan	t(11) = 1.45, p = .175	t(11) = 1.45, q = nan
region * hemisphere	HG	L	R	0.83	11.0	p = .425	p = .425	t(11) = 0.83, p = .425	t(11) = 0.83, q = .425
region * hemisphere	PP	L	R	-1.07	11.0	p = .307	p = .358	t(11) = -1.07, p = .307	t(11) = -1.07, q = .358
region * hemisphere	PT	L	R	2.95	11.0	p = .013	p = .046	t(11) = 2.95, p = .013	t(11) = 2.95, q = .046
region * hemisphere	ParsOp	L	R	1.72	11.0	p = .114	p = .160	t(11) = 1.72, p = .114	t(11) = 1.72, q = .160
region * hemisphere	ParsTri	L	R	3.52	11.0	p = .005	p = .033	t(11) = 3.52, p = .005	t(11) = 3.52, q = .033
region * hemisphere	STGa	L	R	-2.10	11.0	p = .060	p = .105	t(11) = -2.10, p = .060	t(11) = -2.10, q = .105
region * hemisphere	STGp	L	R	-2.26	11.0	p = .045	p = .105	t(11) = -2.26, p = .045	t(11) = -2.26, q = .105
