Contrast	region	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
region	-	NAc-core	NAc-shell	3.25	11.0	p = .008	p = .039	t(11) = 3.25, p = .008	t(11) = 3.25, q = .039
region	-	NAc-core	aCAU	1.00	11.0	p = .341	p = .393	t(11) = 1.00, p = .341	t(11) = 1.00, q = .393
region	-	NAc-core	aPUT	-2.15	11.0	p = .054	p = .117	t(11) = -2.15, p = .054	t(11) = -2.15, q = .117
region	-	NAc-core	pCAU	1.20	11.0	p = .256	p = .384	t(11) = 1.20, p = .256	t(11) = 1.20, q = .384
region	-	NAc-core	pPUT	2.79	11.0	p = .018	p = .066	t(11) = 2.79, p = .018	t(11) = 2.79, q = .066
region	-	NAc-shell	aCAU	-1.79	11.0	p = .101	p = .190	t(11) = -1.79, p = .101	t(11) = -1.79, q = .190
region	-	NAc-shell	aPUT	-6.11	11.0	p < .001	p < .001	t(11) = -6.11, p < .001	t(11) = -6.11, q < .001
region	-	NAc-shell	pCAU	-1.04	11.0	p = .319	p = .393	t(11) = -1.04, p = .319	t(11) = -1.04, q = .393
region	-	NAc-shell	pPUT	0.04	11.0	p = .970	p = .970	t(11) = 0.04, p = .970	t(11) = 0.04, q = .970
region	-	aCAU	aPUT	-2.32	11.0	p = .040	p = .101	t(11) = -2.32, p = .040	t(11) = -2.32, q = .101
region	-	aCAU	pCAU	0.81	11.0	p = .437	p = .469	t(11) = 0.81, p = .437	t(11) = 0.81, q = .469
region	-	aCAU	pPUT	1.63	11.0	p = .131	p = .219	t(11) = 1.63, p = .131	t(11) = 1.63, q = .219
region	-	aPUT	pCAU	2.37	11.0	p = .037	p = .101	t(11) = 2.37, p = .037	t(11) = 2.37, q = .101
region	-	aPUT	pPUT	9.75	11.0	p < .001	p < .001	t(11) = 9.75, p < .001	t(11) = 9.75, q < .001
region	-	pCAU	pPUT	1.02	11.0	p = .330	p = .393	t(11) = 1.02, p = .330	t(11) = 1.02, q = .393
hemisphere	-	lh	rh	-0.52	11.0	p = .611	n/a	t(11) = -0.52, p = .611	t(11) = -0.52, q = nan
region * hemisphere	NAc-core	lh	rh	-1.65	11.0	p = .128	p = .217	t(11) = -1.65, p = .128	t(11) = -1.65, q = .217
region * hemisphere	NAc-shell	lh	rh	-0.73	11.0	p = .479	p = .575	t(11) = -0.73, p = .479	t(11) = -0.73, q = .575
region * hemisphere	aCAU	lh	rh	-1.57	11.0	p = .145	p = .217	t(11) = -1.57, p = .145	t(11) = -1.57, q = .217
region * hemisphere	aPUT	lh	rh	2.64	11.0	p = .023	p = .069	t(11) = 2.64, p = .023	t(11) = 2.64, q = .069
region * hemisphere	pCAU	lh	rh	-0.13	11.0	p = .899	p = .899	t(11) = -0.13, p = .899	t(11) = -0.13, q = .899
region * hemisphere	pPUT	lh	rh	4.39	11.0	p = .001	p = .006	t(11) = 4.39, p = .001	t(11) = 4.39, q = .006
