region	learning_stage	t	p	p_val_fdr	df	p_fdr	stat_str	stat_str_fdr
NAc-core	early	2.72	p = .020	p = .040	11	p = .040	t(11) = 2.72, p = .020	t(11) = 2.72, q = .040
NAc-shell	early	3.91	p = .002	p = .015	11	p = .015	t(11) = 3.91, p = .002	t(11) = 3.91, q = .015
aCAU	early	3.12	p = .010	p = .031	11	p = .031	t(11) = 3.12, p = .010	t(11) = 3.12, q = .031
aPUT	early	4.83	p < .001	p = .005	11	p = .005	t(11) = 4.83, p < .001	t(11) = 4.83, q = .005
pCAU	early	3.09	p = .010	p = .031	11	p = .031	t(11) = 3.09, p = .010	t(11) = 3.09, q = .031
pPUT	early	2.76	p = .019	p = .040	11	p = .040	t(11) = 2.76, p = .019	t(11) = 2.76, q = .040
NAc-core	middle	2.39	p = .036	p = .064	11	p = .064	t(11) = 2.39, p = .036	t(11) = 2.39, q = .064
NAc-shell	middle	5.42	p < .001	p = .004	11	p = .004	t(11) = 5.42, p < .001	t(11) = 5.42, q = .004
aCAU	middle	-0.04	p = .970	p = .970	11	p = .970	t(11) = -0.04, p = .970	t(11) = -0.04, q = .970
aPUT	middle	2.73	p = .020	p = .040	11	p = .040	t(11) = 2.73, p = .020	t(11) = 2.73, q = .040
pCAU	middle	-0.98	p = .346	p = .445	11	p = .445	t(11) = -0.98, p = .346	t(11) = -0.98, q = .445
pPUT	middle	1.28	p = .227	p = .314	11	p = .314	t(11) = 1.28, p = .227	t(11) = 1.28, q = .314
NAc-core	final	1.88	p = .086	p = .130	11	p = .130	t(11) = 1.88, p = .086	t(11) = 1.88, q = .130
NAc-shell	final	1.97	p = .075	p = .123	11	p = .123	t(11) = 1.97, p = .075	t(11) = 1.97, q = .123
aCAU	final	-0.69	p = .506	p = .608	11	p = .608	t(11) = -0.69, p = .506	t(11) = -0.69, q = .608
aPUT	final	3.33	p = .007	p = .030	11	p = .030	t(11) = 3.33, p = .007	t(11) = 3.33, q = .030
pCAU	final	-0.13	p = .903	p = .970	11	p = .970	t(11) = -0.13, p = .903	t(11) = -0.13, q = .970
pPUT	final	-0.06	p = .950	p = .970	11	p = .970	t(11) = -0.06, p = .950	t(11) = -0.06, q = .970
