region	hemisphere	t	df	p	p_fdr	stat_str	stat_str_fdr
HG	L	5.40	11	p < .001	p < .001	t(11) = 5.40, p < .001	t(11) = 5.40, q < .001
HG	R	4.30	11	p = .001	p = .002	t(11) = 4.30, p = .001	t(11) = 4.30, q = .002
PP	L	5.45	11	p < .001	p < .001	t(11) = 5.45, p < .001	t(11) = 5.45, q < .001
PP	R	5.40	11	p < .001	p < .001	t(11) = 5.40, p < .001	t(11) = 5.40, q < .001
PT	L	5.97	11	p < .001	p < .001	t(11) = 5.97, p < .001	t(11) = 5.97, q < .001
PT	R	4.84	11	p < .001	p < .001	t(11) = 4.84, p < .001	t(11) = 4.84, q < .001
ParsOp	L	3.47	11	p = .005	p = .007	t(11) = 3.47, p = .005	t(11) = 3.47, q = .007
ParsOp	R	2.17	11	p = .053	p = .057	t(11) = 2.17, p = .053	t(11) = 2.17, q = .057
ParsTri	L	1.48	11	p = .166	p = .166	t(11) = 1.48, p = .166	t(11) = 1.48, q = .166
ParsTri	R	-2.33	11	p = .040	p = .046	t(11) = -2.33, p = .040	t(11) = -2.33, q = .046
STGa	L	4.74	11	p < .001	p < .001	t(11) = 4.74, p < .001	t(11) = 4.74, q < .001
STGa	R	6.24	11	p < .001	p < .001	t(11) = 6.24, p < .001	t(11) = 6.24, q < .001
STGp	L	6.93	11	p < .001	p < .001	t(11) = 6.93, p < .001	t(11) = 6.93, q < .001
STGp	R	6.93	11	p < .001	p < .001	t(11) = 6.93, p < .001	t(11) = 6.93, q < .001
