region_hemi	t	df	p	p_fdr	stat_str	stat_str_fdr
NAc-core-lh	5.40	11	p < .001	p < .001	t(11) = 5.40, p < .001	t(11) = 5.40, q < .001
NAc-core-rh	3.62	11	p = .004	p = .008	t(11) = 3.62, p = .004	t(11) = 3.62, q = .008
NAc-shell-lh	2.87	11	p = .015	p = .020	t(11) = 2.87, p = .015	t(11) = 2.87, q = .020
NAc-shell-rh	4.70	11	p < .001	p = .002	t(11) = 4.70, p < .001	t(11) = 4.70, q = .002
aCAU-lh	3.06	11	p = .011	p = .016	t(11) = 3.06, p = .011	t(11) = 3.06, q = .016
aCAU-rh	3.10	11	p = .010	p = .016	t(11) = 3.10, p = .010	t(11) = 3.10, q = .016
aPUT-lh	10.29	11	p < .001	p < .001	t(11) = 10.29, p < .001	t(11) = 10.29, q < .001
aPUT-rh	8.99	11	p < .001	p < .001	t(11) = 8.99, p < .001	t(11) = 8.99, q < .001
pCAU-lh	1.92	11	p = .081	p = .081	t(11) = 1.92, p = .081	t(11) = 1.92, q = .081
pCAU-rh	2.25	11	p = .046	p = .050	t(11) = 2.25, p = .046	t(11) = 2.25, q = .050
pPUT-lh	3.60	11	p = .004	p = .008	t(11) = 3.60, p = .004	t(11) = 3.60, q = .008
pPUT-rh	2.26	11	p = .045	p = .050	t(11) = 2.26, p = .045	t(11) = 2.26, q = .050
